scheme,time_ms,snr_db_mean,snr_db_ci_low,snr_db_ci_high
Conventional IRS,0,16.99567040114706,16.837841614450447,17.15349918784367
Conventional IRS,10,17.185064836685036,17.04464257414306,17.32548709922701
Conventional IRS,20,17.13783911671854,16.978214713795804,17.297463519641273
Conventional IRS,30,17.078711485786656,16.92619220243491,17.231230769138403
Conventional IRS,40,17.1713607893084,17.02930162138215,17.313419957234654
Conventional IRS,50,17.213505092713106,17.063335990367655,17.363674195058557
Conventional IRS,60,17.157451909040343,16.99841962537135,17.316484192709336
Conventional IRS,70,17.170635261653853,17.014868967683988,17.32640155562372
Conventional IRS,80,17.12559883161154,16.98202955325685,17.26916810996623
Conventional IRS,90,17.2639251975463,17.100579923571058,17.427270471521542
Conventional IRS,100,17.222711153910986,17.0791661777657,17.36625613005627
Conventional IRS,110,17.171728052695165,17.012157197068046,17.331298908322285
Conventional IRS,120,17.179575091651262,17.0194733956222,17.339676787680325
Conventional IRS,130,17.25546479512584,17.10035524301803,17.41057434723365
Conventional IRS,140,17.28858016410121,17.14203682731727,17.435123500885148
Conventional IRS,150,10.210422740636478,10.043855733577173,10.376989747695783
Conventional IRS,160,10.639693915741615,10.49993760798689,10.77945022349634
Conventional IRS,170,11.159812425123189,11.014165793016911,11.305459057229466
Conventional IRS,180,11.328214859529504,11.178487347303273,11.477942371755736
Conventional IRS,190,11.629757967224089,11.474412268779718,11.78510366566846
Conventional IRS,200,12.121376875946922,11.953043582012402,12.289710169881442
Conventional IRS,210,12.398926455185297,12.259079791874962,12.538773118495632
Conventional IRS,220,12.736907546822417,12.604277948931278,12.869537144713556
Conventional IRS,230,12.85931402101806,12.706642415336859,13.01198562669926
Conventional IRS,240,13.268596840155034,13.116804903814728,13.42038877649534
Conventional IRS,250,13.413744775445464,13.241269490247822,13.586220060643106
Conventional IRS,260,13.54872270713434,13.39336052896355,13.70408488530513
Conventional IRS,270,13.795035999840131,13.626843337821791,13.963228661858471
Conventional IRS,280,13.789699567091914,13.63333366619541,13.946065467988417
Conventional IRS,290,13.993780508995872,13.840135996803498,14.147425021188246
Conventional IRS,300,14.208993040856546,14.06728670579873,14.350699375914362
Conventional IRS,310,14.404317144325097,14.24365810398544,14.564976184664753
Conventional IRS,320,14.466853062893463,14.326971658776527,14.6067344670104
Conventional IRS,330,14.691607359915844,14.535027103928991,14.848187615902697
Conventional IRS,340,16.851245499064174,16.704722209023554,16.997768789104793
Conventional IRS,350,9.790464930295073,9.648304771698406,9.93262508889174
Conventional IRS,360,10.224741452922975,10.079728931862547,10.369753973983403
Conventional IRS,370,10.608066634801927,10.450778702674103,10.765354566929751
Conventional IRS,380,10.975906578414238,10.806043806916303,11.145769349912172
Conventional IRS,390,11.287474629804843,11.124926083624057,11.450023175985628
Conventional IRS,400,11.592288052584276,11.435308486786932,11.749267618381621
Conventional IRS,410,11.99064600565458,11.855887158262888,12.125404853046273
Conventional IRS,420,12.261567064284096,12.099234964000656,12.423899164567535
Conventional IRS,430,12.521738196518452,12.366187440515588,12.677288952521316
Conventional IRS,440,12.7137348062578,12.555708545976689,12.871761066538912
Conventional IRS,450,13.083959052451625,12.912658207742053,13.255259897161197
Conventional IRS,460,13.30047278329306,13.166141073202196,13.434804493383924
Conventional IRS,470,13.486091381023709,13.322248002660094,13.649934759387323
Conventional IRS,480,13.70709865622919,13.534847773279507,13.879349539178873
Conventional IRS,490,14.009938253088496,13.854253439268428,14.165623066908564
Conventional IRS,500,14.201369934082354,14.063185211788968,14.339554656375741
Conventional IRS,510,14.174216488192794,14.015565142875197,14.332867833510392
Conventional IRS,520,14.314184638062262,14.121582948058675,14.506786328065848
Conventional IRS,530,14.535006352763624,14.383032163049979,14.686980542477269
Conventional IRS,540,16.959135447475422,16.813036760006714,17.10523413494413
Conventional IRS,550,9.987400946142794,9.813635495335141,10.161166396950446
Conventional IRS,560,10.329480329846842,10.18342741898667,10.475533240707014
Conventional IRS,570,10.942452613373971,10.780724052511115,11.104181174236828
Conventional IRS,580,11.191478579419188,11.047903177656465,11.335053981181911
Conventional IRS,590,11.609902404112194,11.45734788575797,11.762456922466418
Conventional IRS,600,11.996734975606476,11.827083413524717,12.166386537688235
Conventional IRS,610,12.327249786751548,12.166396974536292,12.488102598966803
Conventional IRS,620,12.547457277615665,12.383710535665022,12.711204019566308
Conventional IRS,630,12.884062629923655,12.733377909537946,13.034747350309363
Conventional IRS,640,13.302521564748046,13.145634508481574,13.459408621014518
Conventional IRS,650,13.521191606478785,13.36313580771373,13.67924740524384
Conventional IRS,660,13.640754147123191,13.48793896938145,13.793569324864933
Conventional IRS,670,14.013684557386552,13.856722672994241,14.170646441778864
Conventional IRS,680,14.18683835820031,14.023217119187802,14.350459597212819
Conventional IRS,690,14.305336891358348,14.16554211165205,14.445131671064646
Conventional IRS,700,14.541077227770954,14.383378475141482,14.698775980400425
Conventional IRS,710,14.558659361130115,14.387902476768785,14.729416245491445
Conventional IRS,720,14.790665223113562,14.618339942543106,14.962990503684019
Conventional IRS,730,14.912170989163629,14.766954471994953,15.057387506332304
Conventional IRS,740,17.194221140121602,17.03196509263823,17.356477187604973
Conventional IRS,750,10.242948294872685,10.077273792648546,10.408622797096823
Conventional IRS,760,10.613272301091818,10.431641745257657,10.79490285692598
Conventional IRS,770,11.033208259328273,10.888518225251952,11.177898293404594
Conventional IRS,780,11.336751208338105,11.173317674257078,11.500184742419133
Conventional IRS,790,11.698054825637925,11.537427814007904,11.858681837267946
Conventional IRS,800,12.13747013260638,11.9758584284866,12.29908183672616
Conventional IRS,810,12.168856161964719,11.987180534670081,12.350531789259357
Conventional IRS,820,12.605749152221302,12.454876119859629,12.756622184582975
Conventional IRS,830,12.788560901317537,12.619173758858553,12.95794804377652
Conventional IRS,840,13.23980235720168,13.070426079935599,13.409178634467763
Conventional IRS,850,13.21845332143924,13.068007578558777,13.368899064319702
